Year,Month,CharCode,InRuR
2007,6,GBP,51.1584
2007,6,BYR,0.0120492
2007,6,DKK,4.67157
2007,6,USD,25.9043
2007,6,EUR,34.8128
2007,6,ISK,0.417811
2007,6,KZT,0.211337
2007,6,CAD,24.1419
2007,6,CNY,3.38707
2007,6,NOK,4.2683
2007,6,XDR,39.167
2007,6,SGD,16.9364
2007,6,TRY,19.4989
2007,6,UAH,5.13709
2007,6,SEK,3.73859
2007,6,CHF,21.1464
2007,6,JPY,0.213081
2007,7,AUD,21.9102
2007,7,GBP,51.7382
2007,7,BYR,0.0120187
2007,7,DKK,4.66476
2007,7,USD,25.8162
2007,7,EUR,34.715
2007,7,ISK,0.411414
2007,7,KZT,0.211011
2007,7,CAD,24.4056
2007,7,CNY,3.38973
2007,7,NOK,4.36881
2007,7,XDR,39.0945
2007,7,SGD,16.8337
2007,7,TRY,19.6396
2007,7,UAH,5.11465
2007,7,SEK,3.75705
2007,7,CHF,20.9564
2007,7,JPY,0.209207
2007,8,AUD,21.9558
2007,8,GBP,51.7997
2007,8,BYR,0.0118917
2007,8,DKK,4.70031
2007,8,USD,25.5448
2007,8,EUR,35.0015
2007,8,ISK,0.412879
2007,8,KZT,0.206631
2007,8,CAD,23.97
2007,8,CNY,3.37582
2007,8,NOK,4.38191
2007,8,XDR,39.1035
2007,8,SGD,16.8992
2007,8,TRY,19.7822
2007,8,UAH,5.07778
2007,8,SEK,3.80879
2007,8,CHF,21.2201
2007,8,JPY,0.214897
2007,9,AUD,21.0596
2007,9,GBP,51.665
2007,9,BYR,0.0119143
2007,9,DKK,4.70292
2007,9,USD,25.6262
2007,9,EUR,35.0233
2007,9,ISK,0.404709
2007,9,KZT,0.202803
2007,9,CAD,24.2191
2007,9,CNY,3.39555
2007,9,NOK,4.40525
2007,9,XDR,39.2258
2007,9,SGD,16.8361
2007,9,TRY,19.6144
2007,9,UAH,5.09528
2007,9,SEK,3.72983
2007,9,CHF,21.3072
2007,9,JPY,0.220459
2007,10,AUD,22.0227
2007,10,GBP,50.44
2007,10,BYR,0.011601
2007,10,DKK,4.73925
2007,10,USD,24.9493
2007,10,EUR,35.3457
2007,10,ISK,0.404168
2007,10,KZT,0.206255
